BOOKS,AUTHOR,PUBLISHERS,YEAR
Skeleton Crew,Stephen King,Cresset Press,1993
Matched,Ally Condie,Crocker & Brewster,2014
I'm a Stranger Here Myself: Notes on Returning to America After 20 Years Away,Bill Bryson,Crown Publishing Group,1930
Heretics of Dune,Frank Herbert,Jaypee Brothers,1946
Specials,Scott Westerfeld,D. Appleton & Company,1952
The Jungle Book,Rudyard Kipling,D. Reidel,1957
Knife of Dreams,Robert Jordan,Da Capo Press,1946
Kim,Rudyard Kipling,Daedalus Publishing,2014
Guess How Much I Love You,Sam McBratney,Dalkey Archive Press,2005
Royal Assassin,Robin Hobb,Darakwon Press,2000
Prelude to Foundation,Isaac Asimov,David & Charles,1995
"-5,777",,2016
Summer Knight,Jim Butcher,Dedalus Books,2007
Travels with Charley: In Search of America,John Steinbeck,Del Rey Books,1906
Fingersmith,Sarah Waters,Delacorte Press,1994
The Return of the Native,Thomas Hardy,Deseret Book,1937
Shadow of the Hegemon,Orson Scott Card,Dick and Fitzgerald,1987
Duma Key,Stephen King,Directmedia Publishing,1954
Lisey's Story,Stephen King,DNA Publications,1944
The Dharma Bums,Jack Kerouac,Dobson Books,1963
Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,"Dodd,1995
Pawn of Prophecy,David Eddings,Dorchester Publishing,1908
The Casual Vacancy,J. K. Rowling,Dorling Kindersley,1946
American Pastoral,Philip Roth,Doubleday,2006
Pale Fire,Vladimir Nabokov,Douglas & McIntyre,1963
The Hobbit and The Lord of the Rings,J. R. R. Tolkien,Dove Medical Press,2010
The Mermaid Chair,Sue Monk Kidd,Dover Publications,1920
Wide Sargasso Sea,Jean Rhys,Dundurn Group,2006
The Mother Tongue,Bill Bryson,Gita Press,1991
Make Way for Ducklings,Robert McCloskey,E. P. Dutton,1908
"Girl, Interrupted",Susanna Kaysen,1961
Seven Up,Janet Evanovich,ECW Press,1933
Doomsday Book,Connie Willis,Eel Pie Publishing,1907
Hot Six,Janet Evanovich,Eerdmans Publishing,1988
The Black Swan: The Impact of the Highly Improbable,Nassim Nicholas Taleb,Elliot Stock,1945
Foundation and Earth,Isaac Asimov,Ellora's Cave,2014
The Lies of Locke Lamora,Scott Lynch,Elsevier,1914
The Murder of Roger Ackroyd,Agatha Christie,Emerald Group Publishing,1940
Just So Stories,Rudyard Kipling,Etruscan Press,1994
Allegiant,Veronica Roth,Europa Press,1908
In Defense of Food: An Eater's Manifesto,Michael Pollan,Everyman's Library,1969
The Kitchen God's Wife,Amy Tan,Ewha Womans University Press,1993
The Castle,Franz Kafka,Exact Change,1930
"Bud, Not Buddy",Christopher Paul Curtis,2011
Red Mars,Kim Stanley Robinson,Tata Publishers,1908
The Sword of Shannara,Terry Brooks,Faber and Faber,1901
The Scarlet Pimpernel,"Emmuska, Baroness Orczy",2017
A Discovery of Witches,Deborah Harkness,Fairview Press,1973
Her Fearful Symmetry,Audrey Niffenegger,"Farrar,1910
Shiver,Maggie Stiefvater,Fearless Books,1942
Dolores Claiborne,Stephen King,Felony & Mayhem Press,1962
Mona Lisa Overdrive,William Gibson,Firebrand Books,1924
His Majesty's Dragon,Naomi Novik,Flame Tree Publishing,1931
Veronika Decides to Die,Paulo Coelho,Focal Press,1984
Portnoy's Complaint,Philip Roth,Folio Society,1995
Seabiscuit: An American Legend,Laura Hillenbrand,Forum Media Group,1904
The Long Winter,Laura Ingalls Wilder,Four Courts Press,1901
The Lost Hero,Rick Riordan,Four Walls Eight Windows,1981
The Taming of the Shrew,William Shakespeare,"Frederick Fell Publishers,1976
Can You Keep A Secret?,Sophie Kinsella,Frederick Warne & Co,1973
The Screwtape Letters,C. S. Lewis,Free Press,2019
Labyrinth,Kate Mosse,Fulcrum Press,2016
Special Topics in Calamity Physics,Marisha Pessl,Funk & Wagnalls,1977
Welcome to the Monkey House,"Kurt Vonnegut, Jr.",1906
Gerald's Game,Stephen King,G. P. Putnam's Sons,2002
The Inheritance of Loss,Kiran Desai,G-Unit Books,1947
The Tin Drum,Günter Grass,Gaspereau Press,1908
Hard Eight,Janet Evanovich,Gay Men's Press,1965
The Farthest Shore,Ursula K. Le Guin,Gefen Publishing House,1987
Four Past Midnight,Stephen King,George H. Doran Company,1967
Tears of the Giraffe,Alexander McCall Smith,George Newnes,1961
The Sonnets,William Shakespeare,George Routledge & Sons,1947
Farmer Boy,Laura Ingalls Wilder,Godwit Press,1965
Hoot,Carl Hiaasen,Golden Cockerel Press,2019
By the Shores of Silver Lake,Laura Ingalls Wilder,The Good Book Company (UK),2000
Dear John,Nicholas Sparks,Good News Publishers,2014
The Quiet American,Graham Greene,Goops Unlimited,1992
A History of God,Karen Armstrong,Leaf Books,1944
Bury My Heart at Wounded Knee: An Indian History of the American West,Dee Brown,Leafwood Publishers,1935
The Sweetness at the Bottom of the Pie,Alan Bradley,Left Book Club,2013
Till We Have Faces,C. S. Lewis,Legend Books,1950
To The Nines,Janet Evanovich,Legend Press,1941
